player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1925632,Simona Quadarella,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 800m Freestyle,No medal
1925633,Nicolo Martinenghi,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 100m Breaststroke,Gold
1925633,Nicolo Martinenghi,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Medley Relay,No medal
1925633,Nicolo Martinenghi,M,Italy,ITA,2024,Summer,Paris,Swimming,Mixed 4 x 100m Medley Relay,No medal
1925634,Manuel Frigo,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Bronze
1925634,Manuel Frigo,M,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925635,Thomas Ceccon,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 100m Backstroke,Gold
1925635,Thomas Ceccon,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Backstroke,No medal
1925635,Thomas Ceccon,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Bronze
1925635,Thomas Ceccon,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Medley Relay,No medal
1925636,Alessandro Miressi,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 100m Freestyle,No medal
1925636,Alessandro Miressi,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Bronze
1925636,Alessandro Miressi,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Medley Relay,No medal
1925637,Alberto Razzetti,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Butterfly,No medal
1925637,Alberto Razzetti,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Individual Medley,No medal
1925637,Alberto Razzetti,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 400m Individual Medley,No medal
1925638,Benedetta Pilato,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 100m Breaststroke,No medal
1925638,Benedetta Pilato,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Medley Relay,No medal
1925639,Maia Biginelli,F,Italy,ITA,2024,Summer,Paris,Diving,Women's 10m Platform,No medal
1925640,Sarah Jodoin,F,Italy,ITA,2024,Summer,Paris,Diving,Women's 10m Platform,No medal
1925641,Elena Bertocchi,F,Italy,ITA,2024,Summer,Paris,Diving,Women's 3m Springboard,No medal
1925641,Elena Bertocchi,F,Italy,ITA,2024,Summer,Paris,Diving,Women's Synchronised 3m Springboard,No medal
1925642,Chiara Pellacani,F,Italy,ITA,2024,Summer,Paris,Diving,Women's 3m Springboard,No medal
1925642,Chiara Pellacani,F,Italy,ITA,2024,Summer,Paris,Diving,Women's Synchronised 3m Springboard,No medal
1925643,Lorenzo Marsaglia,M,Italy,ITA,2024,Summer,Paris,Diving,Men's 3m Springboard,No medal
1925643,Lorenzo Marsaglia,M,Italy,ITA,2024,Summer,Paris,Diving,Men's Synchronised 3m Springboard,No medal
1925644,Giovanni Tocci,M,Italy,ITA,2024,Summer,Paris,Diving,Men's 3m Springboard,No medal
1925644,Giovanni Tocci,M,Italy,ITA,2024,Summer,Paris,Diving,Men's Synchronised 3m Springboard,No medal
1925645,Sargent Larsen,M,Italy,ITA,2024,Summer,Paris,Diving,Men's 10m Platform,No medal
1925647,Lorenzo Bruni,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925649,Francesco Condemi,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925652,del Marco,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925653,di Francesco,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925654,di Edoardo,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925656,Gonzalo Echenique,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
